X,Y,Polarity,Timestamp
59,87,0,342994856
127,87,0,342994968
109,87,0,342995152
47,96,0,343001031
31,60,0,343001354
69,63,1,343001689
69,63,1,343001691
93,54,1,343004749
107,103,0,343011513
54,110,0,343011778
43,70,0,343013911
43,46,1,343022111
43,46,1,343022112
126,12,0,343023037
6,56,0,343025544
82,98,0,343028547
51,102,0,343036153
48,102,0,343036177
69,14,0,343037233
87,91,0,343038740
75,14,0,343039560
7,93,0,343039952
43,29,0,343040995
53,39,0,343041889
119,30,0,343054818
73,51,0,343061100
125,16,0,343066104
44,89,0,343066305
58,56,1,343067152
72,91,0,343069302
55,54,1,343074972
119,74,0,343079132
105,1,0,343086544
17,29,1,343096804
73,64,1,343097585
52,35,0,343100964
76,72,1,343103518
29,60,0,343110860
52,76,1,343111291
13,67,0,343113195
61,68,0,343113907
108,80,0,343124134
46,60,1,343130599
117,42,1,343134605
0,108,0,343140460
72,43,0,343141325
54,53,1,343142145
54,53,1,343142147
93,74,0,343145794
64,60,1,343146861
64,60,1,343146862
73,110,0,343147005
80,101,0,343147658
97,52,1,343149748
77,40,0,343156043
85,58,1,343160538
39,44,1,343161898
95,53,1,343164304
58,75,0,343165044
32,69,0,343168833
50,51,1,343178302
50,51,1,343178303
49,50,1,343180184
49,50,1,343180185
85,94,0,343183713
77,108,0,343184709
75,108,0,343184741
12,57,0,343186113
52,45,0,343188971
34,35,0,343189220
101,110,0,343189489
33,66,0,343191376
111,47,1,343207671
60,57,1,343208819
60,57,1,343208820
26,74,0,343212319
114,43,1,343215830
45,43,0,343216020
99,78,0,343216296
37,105,0,343216552
124,40,0,343221684
59,58,1,343233795
116,93,0,343237797
127,85,0,343240330
71,113,0,343240728
108,46,1,343244855
33,41,1,343246040
69,82,0,343249003
17,114,0,343249135
48,49,1,343256355
36,41,1,343256773
35,40,1,343260443
45,52,1,343260744
99,74,0,343262147
120,33,0,343263641
26,52,0,343264236
94,7,0,343264615
61,58,1,343264709
41,76,0,343267388
104,66,0,343267615
25,47,0,343268680
25,113,0,343268715
49,77,1,343280841
5,77,0,343288720
41,1,0,343289335
68,53,0,343290902
39,78,0,343292876
65,122,0,343294120
25,54,0,343294216
71,34,1,343306403
46,48,1,343313002
55,115,0,343314937
5,83,0,343315303
93,48,0,343315842
34,27,0,343316768
57,117,0,343318363
57,71,0,343327774
13,111,0,343329714
105,52,1,343330648
67,62,1,343331172
24,33,1,343338719
75,63,1,343338840
123,110,0,343338923
45,52,0,343339205
93,52,0,343339303
89,125,0,343339324
95,80,0,343343565
27,82,0,343343956
127,49,0,343344103
54,115,0,343344497
27,35,1,343349071
9,82,0,343358222
91,55,1,343361551
106,112,0,343361915
92,84,0,343364292
87,97,0,343365221
19,32,1,343389846
22,43,0,343390992
52,14,1,343396277
101,94,0,343400052
114,56,0,343403621
21,31,1,343406761
113,52,0,343410588
57,55,1,343411592
117,17,0,343413109
96,52,1,343413825
67,51,0,343415054
87,125,0,343415963
50,102,0,343416742
36,72,0,343417337
3,81,0,343419005
38,42,1,343419344
38,42,1,343419345
38,42,1,343419346
116,42,1,343419374
97,77,0,343419432
119,60,0,343419880
115,6,0,343422511
51,51,1,343422627
60,30,0,343427475
103,84,0,343429003
87,57,1,343429026
66,120,0,343434787
67,99,0,343436802
84,44,0,343439278
38,89,0,343442380
90,94,0,343443629
76,101,0,343445299
47,91,0,343463384
97,76,0,343465663
7,86,0,343466461
107,34,0,343466805
46,94,0,343467908
45,80,0,343469773
54,117,0,343491500
124,95,0,343492651
104,47,0,343494275
90,88,0,343499755
112,43,0,343510303
101,71,0,343510970
86,97,0,343518546
65,120,0,343529480
38,2,0,343531320
19,30,1,343534926
42,45,1,343540174
30,58,0,343540894
45,47,1,343542671
43,86,0,343543304
104,39,0,343544097
47,126,1,343547496
88,90,0,343547726
102,51,1,343551849
70,64,1,343555771
32,64,0,343555772
29,102,0,343562910
55,125,0,343564609
24,74,0,343573088
122,35,0,343573454
85,88,0,343586896
0,63,0,343589321
63,76,0,343590018
105,86,0,343590232
19,91,0,343590410
82,108,0,343590728
86,71,0,343591829
22,40,0,343596368
97,23,0,343601836
23,30,0,343603945
45,9,0,343606161
45,111,0,343606763
68,34,0,343608141
